"country","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AT",124,102,130,110,166,176,204,192,178,114
"BE",100,122,170,150,128,180,188,206,182,92
"BG",12,12,6,12,8,6,10,6,10,8
"BY",6,6,4,2,6,4,NA,4,6,2
"CH",224,232,248,234,344,344,400,346,354,196
"CY",22,26,22,44,34,50,48,24,20,32
"CZ",32,38,22,26,24,46,70,58,42,20
"DE",470,480,488,608,612,598,636,636,548,302
"DK",94,110,108,162,198,174,266,342,308,198
"EE",6,4,6,10,14,10,14,6,8,12
"ES",502,554,618,548,516,506,426,412,348,256
"FI",68,56,54,50,80,84,94,84,84,36
"FR",378,384,406,430,452,418,456,460,412,192
"GB",754,840,838,936,948,894,1052,1378,1356,810
"GR",150,126,126,112,90,72,44,72,54,14
"HR",8,2,4,10,14,4,4,4,12,4
"HU",30,38,20,44,34,28,34,32,28,20
"IE",144,132,140,106,80,114,130,118,124,70
"IS",16,14,12,14,8,14,16,16,8,4
"IT",440,468,482,412,410,376,366,268,314,158
"LT",28,4,8,14,NA,4,6,8,8,4
"LU",10,14,22,24,16,18,24,40,16,20
"LV",6,6,6,2,2,4,2,10,4,2
"MT",NA,6,4,12,2,2,4,8,8,NA
"NL",220,234,258,336,286,280,236,246,254,142
"NO",34,60,74,58,56,76,112,100,106,60
"PL",54,64,36,50,50,42,40,24,48,22
"PT",298,308,342,366,326,314,280,352,334,170
"RO",34,30,40,34,22,10,18,14,18,16
"RU",80,62,50,58,38,46,36,52,84,26
"SE",134,182,228,248,272,382,356,366,376,186
"SI",12,12,8,4,8,10,10,10,4,4
"SK",2,2,8,10,4,8,8,6,8,NA
"TR",80,62,34,48,40,52,66,44,56,32
"UA",44,20,46,22,16,16,8,18,26,16
