"country","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AT",202,130,148,194,180,158,188,162,170,126
"BE",196,220,254,220,264,202,242,204,244,148
"BG",28,24,30,28,22,16,16,22,22,12
"BY",16,8,22,14,14,18,10,12,26,8
"CH",406,390,390,366,316,338,360,332,342,220
"CY",34,26,38,32,18,10,18,26,24,10
"CZ",44,54,76,44,62,40,66,68,60,36
"DE",1008,992,996,1060,1078,1012,984,1096,1030,654
"DK",234,266,242,256,246,230,196,200,160,94
"EE",8,10,10,12,20,10,16,14,18,4
"ES",698,722,736,652,824,834,978,1258,1164,520
"FI",112,112,100,140,114,106,116,122,114,48
"FR",724,716,792,818,830,904,896,930,952,582
"GB",1934,1846,1984,1982,1978,1944,2056,1838,1792,1076
"GR",104,114,108,176,176,216,276,270,246,170
"HR",16,12,10,16,22,22,14,34,22,6
"HU",38,46,36,76,56,72,94,100,68,44
"IE",154,154,146,172,162,182,202,240,198,96
"IS",10,14,12,20,16,16,12,22,16,2
"IT",424,496,608,604,650,794,876,896,1024,492
"LT",10,16,12,12,8,20,24,10,16,8
"LU",30,18,16,10,14,10,12,14,6,14
"LV",6,10,NA,4,10,10,12,8,20,10
"MT",4,2,6,6,6,4,4,14,8,2
"NL",390,410,372,380,444,392,482,490,468,318
"NO",88,74,112,80,74,82,82,88,58,48
"PL",94,62,74,80,92,114,136,114,114,84
"PT",424,434,470,434,414,430,408,448,416,202
"RO",56,62,68,52,84,80,100,60,72,48
"RU",142,150,188,162,186,200,250,242,218,114
"SE",418,420,434,424,326,340,316,364,340,164
"SI",12,12,18,10,14,8,20,28,18,14
"SK",16,28,12,14,16,18,14,14,12,6
"TR",130,186,194,204,200,192,196,198,244,108
"UA",40,64,50,54,52,66,70,76,100,50
