unit,isced11,age,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED0,TOTAL,F,AT	31427 	29658 	28648 	28799 	27075 	25521 	24871 
NR,ED0,TOTAL,F,BA	2102 	: 	: 	: 	: 	: 	: 
NR,ED0,TOTAL,F,BE	: 	: 	34709 d	34429 d	34090 d	: 	: d
NR,ED0,TOTAL,F,BG	18096 	17969 	18298 	18810 	18927 	18725 	18466 
NR,ED0,TOTAL,F,CH	14680 	14403 	14373 	14288 	13686 	13753 	12921 
NR,ED0,TOTAL,F,CY	2506 	2337 	2411 	2130 	2492 	1445 	1396 
NR,ED0,TOTAL,F,CZ	28164 	27896 	27765 	27640 	27512 	26778 	25656 
NR,ED0,TOTAL,F,DE	517825 	504325 	484281 	466896 	452549 	434830 	410839 
NR,ED0,TOTAL,F,DK	64735 d	62850 b	39770 	: 	: 	: 	: 
NR,ED0,TOTAL,F,EE	8210 	8147 	8150 	8210 	8439 	8226 	7852 
NR,ED0,TOTAL,F,EL	23901 	: 	: 	: 	: 	: 	: 
NR,ED0,TOTAL,F,ES	148620 	145888 	142937 	143073 	144086 	145175 	150147 
NR,ED0,TOTAL,F,EU27_2020	1405789 d	1424457 d	1370778 d	1332559 d	1322007 d	: 	: 
NR,ED0,TOTAL,F,EU28	1448752 d	1467302 d	1414512 d	1373543 d	: 	: 	: 
NR,ED0,TOTAL,F,FR	106892 	108309 	108037 	107776 	106342 	106709 	103924 
NR,ED0,TOTAL,F,HR	12723 	12222 	12003 	11172 	10834 	10506 	10244 
NR,ED0,TOTAL,F,HU	26478 	26657 	26568 	26623 	26462 	: 	: 
NR,ED0,TOTAL,F,IE	21278 d	20271 	18127 	15820 	15820 	: 	: 
NR,ED0,TOTAL,F,IS	4902 	4805 	4697 	4743 	4751 	4582 	4445 
NR,ED0,TOTAL,F,IT	128518 	129571 	130484 	131396 	130571 	: 	130039 
NR,ED0,TOTAL,F,LI	100 	91 	: 	: 	: 	: 	: 
NR,ED0,TOTAL,F,LT	14757 	13847 	13006 	13442 	12846 	12547 	12387 
NR,ED0,TOTAL,F,LU	1727 	1636 	1347 	1619 	1772 	1565 	1634 
NR,ED0,TOTAL,F,LV	11303 	11438 	10131 	7619 	7503 	7223 	5767 
NR,ED0,TOTAL,F,ME	1300 d	1230 	: 	: 	: 	: 	: 
NR,ED0,TOTAL,F,MK	4887 	4683 	4330 	2985 	2790 d	2657 	2556 
NR,ED0,TOTAL,F,MT	872 d	775 d	778 d	780 d	730 d	674 	679 
NR,ED0,TOTAL,F,NL	27435 	26665 	27830 	28434 	28737 	28685 	29211 
NR,ED0,TOTAL,F,NO	28477 	25308 	24854 	24854 	23384 	26155 	25142 
NR,ED0,TOTAL,F,PL	104719 	100241 	98014 	90310 	89163 	85367 	79675 
NR,ED0,TOTAL,F,PT	: 	: 	: 	: 	: 	15433 	16161 
NR,ED0,TOTAL,F,RO	35352 	35349 	34839 	34940 	35479 	: 	: 
NR,ED0,TOTAL,F,RS	: 	18364 	17501 	16946 	16301 	16019 	: 
NR,ED0,TOTAL,F,SE	50526 	113395 	112911 	109515 	106208 	: d	97756 
NR,ED0,TOTAL,F,SI	5213 	10937 d	10732 d	10651 d	10534 d	10329 d	10240 d
NR,ED0,TOTAL,F,SK	14513 	14074 	13712 	13294 	12956 	12542 	12208 
NR,ED0,TOTAL,F,UK	42962 bd	42846 	43734 	40984 	: 	80646 	: 
NR,ED0,TOTAL,M,AT	537 	455 	409 	429 	402 	350 	318 
NR,ED0,TOTAL,M,BA	29 	: 	: 	: 	: 	: 	: 
NR,ED0,TOTAL,M,BE	: 	: 	1181 d	1197 d	1164 d	: 	: d
NR,ED0,TOTAL,M,BG	36 	60 	46 	47 	55 	44 	43 
NR,ED0,TOTAL,M,CH	447 	414 	428 	409 	427 	396 	338 
NR,ED0,TOTAL,M,CY	27 	13 	15 	20 	43 	12 	13 
NR,ED0,TOTAL,M,CZ	139 	137 	140 	125 	112 	103 	123 
NR,ED0,TOTAL,M,DE	26384 	23696 	21479 	18492 	16902 	15002 	12697 
NR,ED0,TOTAL,M,DK	7844 d	7719 b	5176 	: 	: 	: 	: 
NR,ED0,TOTAL,M,EE	40 	44 	44 	42 	57 	45 	39 
